image,yaw_deg,pitch_deg,roll_deg
AKB48_20230701 (1).jpg,13.5199,-9.4797,0.1979
AKB48_20230701 (2).jpg,-5.5867,-10.2353,-2.7326
AKB48_20230701 (3).jpg,2.3106,-13.2658,0.0224
AKB48_20230701 (4).jpg,12.3307,-13.1016,4.2639
AKB48_20230701 (5).jpg,16.7454,-16.5689,15.0430
AKB48_20230701 (6).jpg,-0.6754,-13.5260,2.8938
AKB48_20230701 (7).jpg,-12.9782,-10.5649,-2.8137
AKB48_20230701 (8).jpg,-12.7697,-12.2226,-9.9926
AKB48_20230701 (9).jpg,20.3098,-5.9264,-8.5082
AKB48_20230701 (10).jpg,10.8008,-14.7371,14.7821
AKB48_20230701 (11).jpg,-13.6274,-10.8049,-9.4453
AKB48_20230701 (12).jpg,8.7928,-15.6882,3.4971
AKB48_20230701 (13).jpg,-12.9983,-7.7139,-5.9256
AKB48_20230701 (14).jpg,-4.5918,-7.6414,-0.2181
AKB48_20230701 (15).jpg,-12.9198,-7.0847,8.0616
AKB48_20230701 (16).jpg,11.4653,-12.6181,-0.0130
AKB48_20230701 (17).jpg,-18.0779,-10.9707,-8.5578
AKB48_20230701 (18).jpg,5.3928,-15.1759,8.3970
AKB48_20230701 (19).jpg,19.7421,-8.9304,-7.9101
AKB48_20230701 (20).jpg,0.0691,-6.8023,4.4177
AKB48_20230701 (21).jpg,0.7010,-13.2495,6.1088
AKB48_20230701 (22).jpg,6.5951,-12.0801,6.0407
AKB48_20230701 (23).jpg,21.7458,-11.4362,8.9736
AKB48_20230701 (24).jpg,-6.0117,-10.2140,0.5567
AKB48_20230701 (25).jpg,6.5967,-11.1496,4.4571
AKB48_20230701 (26).jpg,12.3454,-13.6392,-1.6994
AKB48_20230701 (27).jpg,-3.6344,-15.2424,-3.1219
AKB48_20230701 (28).jpg,2.1542,-14.3142,13.7407
AKB48_20230701 (29).jpg,9.4615,-11.9111,1.3613
AKB48_20230701 (30).jpg,-9.6767,-10.0702,-0.6721
AKB48_20230701 (31).jpg,13.1019,-12.8480,12.2583
AKB48_20230701 (32).jpg,11.8085,-16.3870,9.1583
AKB48_20230701 (33).jpg,-11.4405,-7.8951,-0.9408
AKB48_20230701 (34).jpg,-11.5384,-16.8309,-0.5834
AKB48_20230701 (35).jpg,-4.8485,-13.0733,-4.0064
AKB48_20230701 (36).jpg,2.0233,-13.4651,10.9757
AKB48_20230701 (37).jpg,-9.8854,-13.9856,-3.7952
AKB48_20230701 (38).jpg,10.7034,-11.3082,4.1532
AKB48_20230701 (39).jpg,-8.4721,-13.9231,6.6634
AKB48_20230701 (40).jpg,13.6906,-12.3192,6.3910
AKB48_20230701 (41).jpg,3.7556,-11.7484,-2.1206
AKB48_20230701 (42).jpg,13.7942,-13.9677,9.6564
AKB48_20230701 (43).jpg,-16.5830,-8.5267,0.7605
AKB48_20230701 (44).jpg,12.5284,-10.6961,-2.0709
AKB48_20230701 (45).jpg,13.8337,-14.5425,10.3755
AKB48_20230701 (46).jpg,0.0726,-11.0837,-2.0973
AKB48_20230701 (47).jpg,13.7736,-9.1884,1.2907
AKB48_20230701 (48).jpg,8.7418,-13.8925,14.3341
AKB48_20230701 (49).jpg,-8.2324,-10.7201,-4.4952
AKB48_20230701 (50).jpg,-2.9611,-15.1014,-9.0846
AKB48_20230701 (51).jpg,16.8792,-14.2484,7.8323
AKB48_20230701 (52).jpg,-8.1857,-8.8695,-5.3921
AKB48_20230701 (53).jpg,14.0139,-15.1593,19.3152
AKB48_20230701 (54).jpg,-8.9929,-12.1637,-1.6367
AKB48_20230701 (55).jpg,-0.2933,-9.5830,-4.7382
AKB48_20230701 (56).jpg,16.4492,-10.7674,-1.4681
AKB48_20230701 (57).jpg,-1.0349,-9.5428,-3.3081
AKB48_20230701 (58).jpg,-5.8891,-8.6918,-4.0296
AKB48_20230701 (59).jpg,11.7207,-10.7816,-6.5134
AKB48_20230701 (60).jpg,-6.4464,-12.9392,-4.8478
AKB48_20230701 (61).jpg,2.4898,-12.1122,2.0715
AKB48_20230701 (62).jpg,4.3686,-16.1084,3.1504
AKB48_20230701 (63).jpg,15.8580,-12.8770,10.3844
AKB48_20230701 (64).jpg,18.9904,-16.6491,4.5744
AKB48_20230701 (65).jpg,-4.4074,-14.3403,-4.8015
AKB48_20230701 (66).jpg,-14.3161,-7.5154,7.6812
AKB48_20230701 (67).jpg,-11.5231,-6.4670,-6.6553
AKB48_20230701 (68).jpg,-5.8921,-13.5375,0.6106
AKB48_20230701 (69).jpg,11.5448,-13.2054,2.0404
AKB48_20230701 (70).jpg,5.7695,-14.4793,11.5009
AKB48_20230701 (71).jpg,-4.5036,-8.7522,-7.6899
AKB48_20230701 (72).jpg,10.2084,-13.7267,9.8594
AKB48_20230701 (73).jpg,3.2725,-10.7762,8.2832
AKB48_20230701 (74).jpg,6.4140,-8.3264,6.0704
AKB48_20230701 (75).jpg,6.2934,-16.5499,11.2520
AKB48_20230701 (76).jpg,-5.2206,-12.0899,-4.1767
AKB48_20230701 (77).jpg,13.5279,-9.8083,-2.2683
AKB48_20230701 (78).jpg,-7.2894,-11.6961,-5.3640
AKB48_20230701 (79).jpg,11.7127,-15.0459,1.4514
AKB48_20230701 (80).jpg,-5.3639,-12.6370,-2.2720
AKB48_20230701 (81).jpg,10.5018,-13.6538,3.8041
AKB48_20230701 (82).jpg,-0.1111,-9.6060,-5.5926
AKB48_20230701 (83).jpg,-11.5710,-11.7442,-6.9312
AKB48_20230701 (84).jpg,-6.5812,-7.4257,-1.6250
AKB48_20230701 (85).jpg,-15.5546,-12.7625,-2.4733
AKB48_20230701 (86).jpg,17.2627,-11.3752,-4.6678
AKB48_20230701 (87).jpg,-10.7982,-11.0287,2.3313
AKB48_20230701 (88).jpg,-10.0964,-9.6937,4.4022
AKB48_20230701 (89).jpg,10.8979,-12.9264,-1.7328
AKB48_20230701 (90).jpg,-2.9983,-9.2859,3.0617
AKB48_20230701 (91).jpg,8.6313,-10.1961,8.6981
