image,yaw_deg,pitch_deg,roll_deg
HKT48_20240809 (1).jpg,8.8358,-14.4936,4.6038
HKT48_20240809 (2).jpg,6.5571,-12.9710,4.4660
HKT48_20240809 (3).jpg,-0.2833,-9.0739,1.8444
HKT48_20240809 (4).jpg,11.4104,-11.0325,0.7651
HKT48_20240809 (5).jpg,9.6383,-18.3562,10.7168
HKT48_20240809 (6).jpg,10.7243,-9.2749,-3.1024
HKT48_20240809 (7).jpg,13.2524,-13.9164,5.2339
HKT48_20240809 (8).jpg,1.8141,-13.0673,11.1667
HKT48_20240809 (9).jpg,-9.7885,-11.5231,-11.6107
HKT48_20240809 (10).jpg,16.9504,-5.4113,0.1858
HKT48_20240809 (11).jpg,3.7357,-12.7086,2.9247
HKT48_20240809 (12).jpg,12.5619,-9.5316,7.3963
HKT48_20240809 (13).jpg,8.3610,-13.8577,1.4532
HKT48_20240809 (14).jpg,-4.4905,-5.6173,2.4802
HKT48_20240809 (15).jpg,8.5073,-13.6630,8.8382
HKT48_20240809 (16).jpg,13.6087,-12.2388,7.1763
HKT48_20240809 (17).jpg,16.8850,-13.0871,11.0734
HKT48_20240809 (18).jpg,9.6412,-9.3308,11.7461
HKT48_20240809 (19).jpg,-7.4945,-12.7518,-9.5836
HKT48_20240809 (20).jpg,-12.1583,-11.6632,1.7666
HKT48_20240809 (21).jpg,-7.0147,-6.6291,-0.4481
HKT48_20240809 (22).jpg,-15.2561,-9.6714,4.5614
HKT48_20240809 (23).jpg,1.5814,-12.6408,0.0321
HKT48_20240809 (24).jpg,2.7779,-10.3163,5.4750
HKT48_20240809 (25).jpg,-11.1668,-14.0680,-5.4737
HKT48_20240809 (26).jpg,-15.7293,-10.0232,6.5302
HKT48_20240809 (27).jpg,-13.4862,-9.1942,-3.9487
HKT48_20240809 (28).jpg,16.4895,-15.7970,0.2916
HKT48_20240809 (29).jpg,12.4291,-13.3204,-2.8913
HKT48_20240809 (30).jpg,-0.9051,-13.8690,-1.9601
HKT48_20240809 (31).jpg,14.1500,-14.6976,2.3395
HKT48_20240809 (32).jpg,6.8507,-14.0154,8.5944
HKT48_20240809 (33).jpg,1.3524,-6.3129,1.7226
HKT48_20240809 (34).jpg,17.8377,-9.9072,3.4981
HKT48_20240809 (35).jpg,11.9753,-11.0678,-2.5048
HKT48_20240809 (36).jpg,1.9700,-18.9411,7.0334
HKT48_20240809 (37).jpg,1.7208,-13.4875,11.0973
HKT48_20240809 (38).jpg,12.8641,-13.4625,12.3502
HKT48_20240809 (39).jpg,11.0617,-15.1496,8.5720
HKT48_20240809 (40).jpg,19.1826,-11.9927,2.7925
HKT48_20240809 (41).jpg,15.7329,-14.6813,-5.8718
HKT48_20240809 (42).jpg,-1.4743,-11.5784,-0.1124
HKT48_20240809 (43).jpg,-12.7752,-12.8735,-3.2102
HKT48_20240809 (44).jpg,17.7606,-7.1792,-5.5488
HKT48_20240809 (45).jpg,16.2861,-11.5103,4.7839
HKT48_20240809 (46).jpg,9.2824,-15.5106,10.2025
HKT48_20240809 (47).jpg,-17.2754,-7.2993,6.8058
HKT48_20240809 (48).jpg,11.4423,-12.6621,7.4394
HKT48_20240809 (49).jpg,-14.5241,-10.7774,10.0039
HKT48_20240809 (50).jpg,-9.5100,-11.6865,-11.4025
