image,yaw_deg,pitch_deg,roll_deg
hinatazaka_20180620 (1).jpg,0.1043,-9.2240,-0.2940
hinatazaka_20180620 (2).jpg,1.6098,-9.1192,-0.2983
hinatazaka_20180620 (3).jpg,19.2438,-7.9553,4.2668
hinatazaka_20180620 (4).jpg,-12.4708,-14.6393,-10.5008
hinatazaka_20180620 (5).jpg,-7.9318,-10.3004,-7.6639
hinatazaka_20180620 (6).jpg,-14.9662,-10.4589,-5.9276
hinatazaka_20180620 (7).jpg,10.2144,-2.2508,1.1413
hinatazaka_20180620 (8).jpg,-13.5259,-9.8165,-8.6097
hinatazaka_20180620 (9).jpg,21.2353,-12.9387,8.4967
hinatazaka_20180620 (10).jpg,15.3756,-8.5852,1.2846
hinatazaka_20180620 (11).jpg,-17.6521,-12.0053,-17.6247
hinatazaka_20180620 (12).jpg,-11.1900,-9.9846,-9.7819
hinatazaka_20180620 (13).jpg,8.0005,-6.0982,2.8261
hinatazaka_20180620 (14).jpg,20.8952,-5.0915,-9.4677
hinatazaka_20180620 (15).jpg,-4.3675,-6.4624,-2.8854
hinatazaka_20180620 (16).jpg,-15.9483,-11.1410,-5.0766
hinatazaka_20180620 (17).jpg,4.3594,-6.3630,2.2977
hinatazaka_20180620 (18).jpg,32.0110,-11.1735,0.8926
hinatazaka_20180620 (19).jpg,20.8009,-1.7973,-10.6081
hinatazaka_20180620 (20).jpg,-6.7480,-9.0870,-1.0518
