image,yaw_deg,pitch_deg,roll_deg
NGT48_20160216 (1).jpg,12.3834,-16.6671,2.1693
NGT48_20160216 (2).jpg,-4.1753,-13.5284,0.1580
NGT48_20160216 (3).jpg,-14.4027,-16.3433,-7.6577
NGT48_20160216 (4).jpg,5.2029,-15.9104,14.0650
NGT48_20160216 (5).jpg,-3.6864,-12.3692,-3.2255
NGT48_20160216 (6).jpg,6.9528,-8.5544,2.2897
NGT48_20160216 (7).jpg,-7.0569,-12.9278,-4.3950
NGT48_20160216 (8).jpg,13.0673,-14.0780,2.3915
NGT48_20160216 (9).jpg,2.3803,-8.4380,1.1675
NGT48_20160216 (10).jpg,14.9736,-12.5126,3.0669
NGT48_20160216 (11).jpg,10.4224,-10.8126,-8.5228
NGT48_20160216 (12).jpg,10.3761,-15.4340,7.1885
NGT48_20160216 (13).jpg,-3.4902,-12.3473,-1.4001
NGT48_20160216 (14).jpg,-15.5604,-7.1171,-6.5005
NGT48_20160216 (15).jpg,18.4315,-15.4923,4.3761
NGT48_20160216 (16).jpg,8.4688,-9.0441,0.8905
NGT48_20160216 (17).jpg,8.9615,-9.7607,5.8706
NGT48_20160216 (18).jpg,13.3267,-14.2657,10.0064
NGT48_20160216 (19).jpg,-11.1307,-9.0586,-5.2943
NGT48_20160216 (20).jpg,12.1336,-8.6886,6.1038
NGT48_20160216 (21).jpg,-10.7181,-15.4039,-0.3008
NGT48_20160216 (22).jpg,11.6551,-14.4781,0.9538
NGT48_20160216 (23).jpg,8.4695,-14.5692,1.0812
NGT48_20160216 (24).jpg,8.0329,-13.7637,0.4634
NGT48_20160216 (25).jpg,20.7201,-14.1895,1.6445
NGT48_20160216 (26).jpg,12.4872,-14.2001,11.1459
