image,yaw_deg,pitch_deg,roll_deg
NMB48_20200829 (1).jpg,-8.6347,-13.0559,-10.9020
NMB48_20200829 (2).jpg,8.0424,-14.3669,6.1512
NMB48_20200829 (3).jpg,15.8687,-8.7770,4.3793
NMB48_20200829 (4).jpg,8.4510,-14.1154,3.8745
NMB48_20200829 (5).jpg,11.9918,-11.4509,4.7522
NMB48_20200829 (6).jpg,20.8885,-13.1914,4.1182
NMB48_20200829 (7).jpg,-19.2432,-10.8664,1.8128
NMB48_20200829 (8).jpg,19.5530,-11.2319,-1.6345
NMB48_20200829 (9).jpg,-15.9158,-13.1354,-7.7667
NMB48_20200829 (10).jpg,8.2871,-14.8547,19.7966
NMB48_20200829 (11).jpg,12.9252,-16.8925,10.5938
NMB48_20200829 (12).jpg,-15.2763,-10.6166,-4.5669
NMB48_20200829 (13).jpg,5.1336,-11.2339,11.9122
NMB48_20200829 (14).jpg,20.2222,-10.8696,0.8946
NMB48_20200829 (15).jpg,11.0638,-4.8309,-0.1521
NMB48_20200829 (16).jpg,10.9237,-8.5070,7.4223
NMB48_20200829 (17).jpg,7.9253,-11.4113,0.0625
NMB48_20200829 (18).jpg,6.3221,-10.8507,4.0256
NMB48_20200829 (19).jpg,11.1034,-11.6024,0.6964
NMB48_20200829 (20).jpg,12.3203,-16.0035,13.8353
NMB48_20200829 (21).jpg,-1.5922,-10.3540,-7.4050
NMB48_20200829 (22).jpg,18.5058,-8.0546,-1.6759
NMB48_20200829 (23).jpg,17.5614,-12.1500,1.6609
NMB48_20200829 (24).jpg,-9.0190,-9.6536,-4.0843
NMB48_20200829 (25).jpg,-4.6910,-10.1305,3.5148
NMB48_20200829 (26).jpg,-14.9937,-4.0875,14.2788
NMB48_20200829 (27).jpg,-13.6875,-8.5156,1.1922
NMB48_20200829 (28).jpg,8.5793,-9.1482,-0.8086
NMB48_20200829 (29).jpg,-2.1276,-11.0320,10.4644
NMB48_20200829 (30).jpg,9.9053,-11.1017,-1.2661
NMB48_20200829 (31).jpg,21.7565,-9.3871,-1.9542
NMB48_20200829 (32).jpg,13.9916,-19.0634,18.6403
NMB48_20200829 (33).jpg,11.9690,-10.5463,1.0436
NMB48_20200829 (34).jpg,18.0741,-17.6880,5.0357
NMB48_20200829 (35).jpg,-9.4542,-7.6125,-7.0052
NMB48_20200829 (36).jpg,18.3549,-12.4955,8.6660
NMB48_20200829 (37).jpg,20.9381,-5.0520,-7.1695
NMB48_20200829 (38).jpg,-9.9124,-12.9549,-1.3018
NMB48_20200829 (39).jpg,15.4756,-8.7036,-3.9527
NMB48_20200829 (40).jpg,17.2405,-10.3373,9.3503
NMB48_20200829 (41).jpg,-2.3872,-8.7830,-9.3150
NMB48_20200829 (42).jpg,10.7215,-12.7145,7.1347
NMB48_20200829 (43).jpg,13.9638,-15.0605,4.1819
NMB48_20200829 (44).jpg,8.4913,-8.5111,1.5733
NMB48_20200829 (45).jpg,15.8152,-12.6015,5.8017
NMB48_20200829 (46).jpg,-14.1923,-11.7813,-3.4835
NMB48_20200829 (47).jpg,-13.6055,-8.2584,5.3275
