image,yaw_deg,pitch_deg,roll_deg
nogizaka_20110821 (1).jpg,-0.1983,-13.7300,-1.4629
nogizaka_20110821 (2).jpg,-3.1921,-14.0159,-6.2531
nogizaka_20110821 (3).jpg,0.3938,-15.8026,-2.6465
nogizaka_20110821 (4).jpg,-10.9855,-15.6561,3.3645
nogizaka_20110821 (5).jpg,3.7799,-16.0039,-15.8220
nogizaka_20110821 (6).jpg,-23.3213,-16.4601,-1.2189
nogizaka_20110821 (7).jpg,-17.7908,-5.3110,9.0088
nogizaka_20110821 (8).jpg,9.1073,-9.1401,-12.3572
nogizaka_20110821 (9).jpg,7.8671,-13.0525,-4.7296
nogizaka_20110821 (10).jpg,10.7205,-8.3036,-5.3062
nogizaka_20110821 (11).jpg,-8.3050,-15.6677,-6.4129
nogizaka_20110821 (12).jpg,-5.2571,-9.4007,13.0367
nogizaka_20110821 (13).jpg,-1.5523,-18.2714,-10.2138
nogizaka_20110821 (14).jpg,3.5872,-17.3429,22.6189
nogizaka_20110821 (15).jpg,-1.0426,-11.4121,1.4257
nogizaka_20110821 (16).jpg,-7.3396,-10.7981,12.7974
nogizaka_20110821 (17).jpg,-2.3598,-11.7303,0.0384
nogizaka_20110821 (18).jpg,3.9419,-8.4043,0.5173
nogizaka_20110821 (19).jpg,-10.1662,-11.4971,-7.2887
nogizaka_20110821 (20).jpg,-7.8206,-12.0854,-0.4579
nogizaka_20110821 (21).jpg,-3.4901,-18.2001,-10.0637
nogizaka_20110821 (22).jpg,-7.3990,-10.4382,12.1981
nogizaka_20110821 (23).jpg,0.8585,-9.1812,-5.9496
nogizaka_20110821 (24).jpg,19.5494,-17.7738,22.4174
nogizaka_20110821 (25).jpg,5.9398,-13.4043,8.8433
nogizaka_20110821 (26).jpg,-2.7278,-8.7068,2.9656
nogizaka_20110821 (27).jpg,-0.3193,-10.2786,11.9090
nogizaka_20110821 (28).jpg,4.1627,-19.8078,21.7752
nogizaka_20110821 (29).jpg,8.0339,-18.9548,-6.2254
nogizaka_20110821 (30).jpg,3.8808,-13.9520,-0.7202
nogizaka_20110821 (31).jpg,8.7457,-9.2284,-1.6691
nogizaka_20110821 (32).jpg,4.1219,-11.3732,19.4620
nogizaka_20110821 (33).jpg,10.3961,-15.2580,-5.4263
nogizaka_20110821 (34).jpg,3.4526,-14.2122,5.0930
nogizaka_20110821 (35).jpg,0.2028,-10.0667,1.9234
nogizaka_20110821 (36).jpg,-0.8926,-7.1718,0.2920
