image,yaw_deg,pitch_deg,roll_deg
SKE48_20150805 (1).jpg,-7.6622,-15.1641,-5.2645
SKE48_20150805 (2).jpg,15.8298,-10.4602,-6.8467
SKE48_20150805 (3).jpg,-2.9569,-11.5561,-7.8212
SKE48_20150805 (4).jpg,16.4410,-16.5141,12.5122
SKE48_20150805 (5).jpg,12.9831,-11.6034,0.8280
SKE48_20150805 (6).jpg,-2.4929,-10.5298,-13.4733
SKE48_20150805 (7).jpg,-17.1241,-10.9947,-2.7838
SKE48_20150805 (8).jpg,11.0903,-15.2183,7.1836
SKE48_20150805 (9).jpg,-7.6083,-15.1323,-2.3568
SKE48_20150805 (10).jpg,-6.9643,-10.1882,-2.3198
SKE48_20150805 (11).jpg,8.9097,-11.7672,0.9532
SKE48_20150805 (12).jpg,-12.2094,-15.4680,-3.7342
SKE48_20150805 (13).jpg,7.7705,-15.0469,11.2731
SKE48_20150805 (14).jpg,8.3891,-15.8675,4.3975
SKE48_20150805 (15).jpg,-6.8247,-12.2969,-3.5335
SKE48_20150805 (16).jpg,11.8999,-10.0750,4.5124
SKE48_20150805 (17).jpg,-13.7460,-12.5789,-2.8263
SKE48_20150805 (18).jpg,11.4991,-13.0386,5.3795
SKE48_20150805 (19).jpg,-11.1341,-14.4206,-4.9521
SKE48_20150805 (20).jpg,-1.9381,-9.8028,-2.5878
SKE48_20150805 (21).jpg,-11.8076,-10.2615,-9.0339
SKE48_20150805 (22).jpg,-6.4336,-16.9055,-8.5998
SKE48_20150805 (23).jpg,-11.3583,-10.4867,-11.1800
SKE48_20150805 (24).jpg,-9.5878,-11.4712,-15.0488
SKE48_20150805 (25).jpg,-4.8681,-10.5974,4.4068
SKE48_20150805 (26).jpg,19.2748,-7.5861,2.9762
SKE48_20150805 (27).jpg,-2.5762,-6.2563,6.8420
SKE48_20150805 (28).jpg,3.1628,-12.5011,-0.3996
SKE48_20150805 (29).jpg,-3.0528,-10.2737,-3.4872
SKE48_20150805 (30).jpg,-5.8898,-14.3333,0.8129
SKE48_20150805 (31).jpg,12.7594,-16.5169,11.7257
SKE48_20150805 (32).jpg,10.3429,-18.1217,11.4929
SKE48_20150805 (33).jpg,-15.4946,-10.8958,2.5596
SKE48_20150805 (34).jpg,-13.1944,-10.5790,-3.2343
SKE48_20150805 (35).jpg,-6.9583,-18.1236,-4.2004
SKE48_20150805 (36).jpg,9.8713,-8.6722,5.4416
SKE48_20150805 (37).jpg,-15.2273,-17.8346,-5.9527
SKE48_20150805 (38).jpg,6.3504,-14.3433,12.6529
SKE48_20150805 (39).jpg,-8.6632,-14.4065,-1.8927
SKE48_20150805 (40).jpg,4.4804,-12.0410,0.6077
SKE48_20150805 (41).jpg,1.2443,-16.5435,4.3683
SKE48_20150805 (42).jpg,16.4207,-8.8732,0.2094
SKE48_20150805 (43).jpg,4.9278,-11.9134,1.3770
SKE48_20150805 (44).jpg,9.4014,-13.6069,6.1644
SKE48_20150805 (45).jpg,2.2268,-11.4084,3.9123
SKE48_20150805 (46).jpg,14.4327,-13.9524,2.9090
SKE48_20150805 (47).jpg,6.4288,-8.6244,6.3641
SKE48_20150805 (48).jpg,-6.4034,-11.1242,-3.9137
SKE48_20150805 (49).jpg,6.1932,-14.0568,3.7234
SKE48_20150805 (50).jpg,-8.5449,-10.5192,1.9165
SKE48_20150805 (51).jpg,12.3552,-12.1755,-2.2032
SKE48_20150805 (52).jpg,6.9137,-18.0413,9.5832
SKE48_20150805 (53).jpg,-14.9476,-11.5819,-1.0983
SKE48_20150805 (54).jpg,-11.1880,-10.8280,-0.1757
SKE48_20150805 (55).jpg,10.8943,-15.5814,5.6225
SKE48_20150805 (56).jpg,-4.6322,-11.5895,0.4913
SKE48_20150805 (57).jpg,18.0861,-13.3621,6.2337
SKE48_20150805 (58).jpg,-7.6608,-10.0117,1.6439
SKE48_20150805 (59).jpg,13.9000,-13.4711,4.0618
SKE48_20150805 (60).jpg,17.4523,-14.2027,2.2604
SKE48_20150805 (61).jpg,14.6467,-13.0305,5.2549
SKE48_20150805 (62).jpg,14.3257,-10.9673,3.8122
SKE48_20150805 (63).jpg,-6.8688,-18.0493,0.7266
SKE48_20150805 (64).jpg,-14.2995,-14.9157,-11.0475
SKE48_20150805 (65).jpg,12.5162,-12.0252,7.4462
SKE48_20150805 (66).jpg,-6.5016,-11.8579,-4.2060
SKE48_20150805 (67).jpg,-3.5570,-11.0131,-5.6266
SKE48_20150805 (68).jpg,17.3992,-12.9250,6.3593
SKE48_20150805 (69).jpg,15.3689,-17.8585,9.5004
SKE48_20150805 (70).jpg,14.0832,-22.6763,6.7172
SKE48_20150805 (71).jpg,14.4443,-13.1839,3.9116
