image,yaw_deg,pitch_deg,roll_deg
SUT48_20200521 (1).jpg,15.9302,-10.8520,-2.3406
SUT48_20200521 (2).jpg,4.1982,-12.8491,13.1983
SUT48_20200521 (3).jpg,10.5540,-14.4754,7.8962
SUT48_20200521 (4).jpg,-4.8076,-10.1269,-4.1727
SUT48_20200521 (5).jpg,11.9340,-15.5959,6.6941
SUT48_20200521 (6).jpg,2.8333,-7.0186,0.8549
SUT48_20200521 (7).jpg,0.2826,-6.6750,-1.0142
SUT48_20200521 (8).jpg,11.4951,-6.5342,-14.1343
SUT48_20200521 (9).jpg,9.7592,-19.5663,14.2822
SUT48_20200521 (10).jpg,-12.7563,-10.4982,-10.2210
SUT48_20200521 (11).jpg,-10.7854,-8.8984,-2.9187
SUT48_20200521 (12).jpg,-5.9597,-12.6446,-7.7756
SUT48_20200521 (13).jpg,-5.0247,-10.2773,-11.4111
SUT48_20200521 (14).jpg,-3.3558,-6.8415,1.9898
SUT48_20200521 (15).jpg,-0.6835,-10.9080,-0.1004
SUT48_20200521 (16).jpg,10.6076,-6.9689,0.9269
SUT48_20200521 (17).jpg,14.8525,-13.5138,-4.9357
SUT48_20200521 (18).jpg,8.4819,-11.8239,3.3051
SUT48_20200521 (19).jpg,6.3153,-16.0079,2.2903
SUT48_20200521 (20).jpg,7.6644,-11.9368,1.2899
SUT48_20200521 (21).jpg,-6.6649,-6.6754,1.0607
SUT48_20200521 (22).jpg,-6.3267,-12.0678,-1.5968
