image,yaw_deg,pitch_deg,roll_deg
keyakizaka_20160303 (3).jpg,13.4553,-15.1969,8.3486
keyakizaka_20160303 (21).jpg,6.4388,-11.4750,2.6567
keyakizaka_20160303 (22).jpg,16.0825,-16.2008,17.2256
keyakizaka_20160303 (23).jpg,-9.6276,-11.2531,4.8586
keyakizaka_20160303 (24).jpg,4.6788,-10.2048,2.7693
keyakizaka_20160303 (25).jpg,-8.2191,-10.3865,0.6513
keyakizaka_20160303 (26).jpg,-7.7748,-9.2825,-2.2898
keyakizaka_20160303 (27).jpg,-25.2048,-5.9178,1.0808
keyakizaka_20160303 (28).jpg,14.9961,-15.4792,5.0386
keyakizaka_20160303 (29).jpg,-22.2207,-10.9244,-5.1279
keyakizaka_20160303 (30).jpg,7.7510,-14.3112,22.1811
keyakizaka_20160303 (31).jpg,13.8063,-9.7618,-2.6842
keyakizaka_20160303 (32).jpg,-7.4066,-7.4735,0.9559
keyakizaka_20160303 (33).jpg,3.4530,-10.3137,0.4461
keyakizaka_20160303 (34).jpg,-16.1596,-7.9169,-0.2711
keyakizaka_20160303 (35).jpg,0.8295,-11.3115,6.7452
keyakizaka_20160303 (36).jpg,17.3969,-17.5683,0.3871
keyakizaka_20160303 (37).jpg,-6.0952,-11.2192,-10.1677
keyakizaka_20160303 (38).jpg,15.4937,-10.8850,10.1447
keyakizaka_20160303 (39).jpg,16.2659,-8.6754,1.6448
