image,yaw_deg,pitch_deg,roll_deg
sakurazaka_20250219 (1).jpg,9.1272,-3.3584,-0.3545
sakurazaka_20250219 (2).jpg,0.2051,-5.4012,-1.6780
sakurazaka_20250219 (3).jpg,1.5214,-4.2794,2.6904
sakurazaka_20250219 (4).jpg,-15.9723,-7.1684,-5.6394
sakurazaka_20250219 (5).jpg,3.8528,-6.4857,4.7381
sakurazaka_20250219 (6).jpg,-3.1641,-8.4180,0.0415
sakurazaka_20250219 (7).jpg,10.1826,-6.3041,9.9107
sakurazaka_20250219 (8).jpg,9.9582,0.1179,5.3176
sakurazaka_20250219 (9).jpg,13.9869,-4.8188,4.0928
sakurazaka_20250219 (10).jpg,15.0768,-6.2087,3.7605
sakurazaka_20250219 (11).jpg,-2.6378,-4.0823,2.8986
sakurazaka_20250219 (12).jpg,1.3755,-2.9202,-1.6786
sakurazaka_20250219 (13).jpg,-1.8716,-10.6066,-0.1727
sakurazaka_20250219 (14).jpg,12.4429,-11.3173,4.5729
sakurazaka_20250219 (15).jpg,8.9373,-9.0129,6.3161
sakurazaka_20250219 (16).jpg,2.2673,-6.5799,4.3014
sakurazaka_20250219 (17).jpg,5.5734,-6.4804,4.9790
sakurazaka_20250219 (18).jpg,15.0428,-4.1066,4.8776
sakurazaka_20250219 (19).jpg,1.0320,-8.2044,0.2891
sakurazaka_20250219 (20).jpg,13.6292,-4.6281,2.2510
sakurazaka_20250219 (21).jpg,-22.3693,-10.5240,-16.1139
sakurazaka_20250219 (22).jpg,13.1802,-10.2631,7.4081
sakurazaka_20250219 (23).jpg,-5.4400,-7.7037,-3.8833
sakurazaka_20250219 (24).jpg,9.5339,-5.6114,4.7534
sakurazaka_20250219 (25).jpg,-6.2357,-7.9444,-6.8619
