image,yaw_deg,pitch_deg,roll_deg,Group,source_csv
AKB48_20110119 (1).jpg,16.6447,-11.6469,-2.0477,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (2).jpg,9.9788,-20.0842,16.67,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (3).jpg,9.4728,-19.1149,6.5528,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (4).jpg,11.1507,-12.2143,6.9107,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (5).jpg,12.1849,-11.9252,-3.1712,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (6).jpg,3.8702,-8.9448,5.0768,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (7).jpg,0.4406,-13.1512,-1.5716,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (8).jpg,-2.1261,-14.1211,-1.7945,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (9).jpg,14.7558,-9.1577,2.2837,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (10).jpg,-11.3035,-10.8135,0.5723,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (11).jpg,-7.8225,-9.931,-7.0388,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (12).jpg,-11.5827,-12.98,-8.6236,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (13).jpg,10.1104,-16.0689,-4.3366,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (14).jpg,12.6114,-7.4742,-5.118,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (15).jpg,-9.67,-7.4099,-4.1837,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (16).jpg,0.6618,-13.6354,-3.4752,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (17).jpg,3.3497,-14.1675,-4.1346,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (18).jpg,-17.3447,-12.6306,-0.0608,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (19).jpg,-13.4989,-16.1157,-5.3114,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (20).jpg,-10.3219,-16.0507,-4.185,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (21).jpg,-12.7281,-15.0073,-7.5164,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (22).jpg,6.0331,-13.5646,0.8789,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (23).jpg,-13.7864,-13.1001,1.8888,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (24).jpg,12.378,-9.2709,0.4437,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (25).jpg,-5.127,-11.0402,2.3282,AKB48,ex_akb_20110119_angle.csv
AKB48_20110119 (26).jpg,20.735,-15.6425,-0.5862,AKB48,ex_akb_20110119_angle.csv
